codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
319401401,106421531,"3,49","246,97",4
365324001,106473950,"4,77","245,74",4
308565402,106823343,"13,25","245,36",4
357046301,106810526,"3,67","244,28",4
322703102,106540457,"7,04","239,08",4
355985401,104842121,"4,83","238,96",4
330513611,104982772,"14,02","238,36",4
310571302,105693238,"7,60","237,81",4
359216704,105484346,"8,20","237,66",4
330678101,106824127,"14,42","237,49",4
329227501,106477659,"4,42","235,89",4
337306902,106468551,"4,40","235,34",4
364838301,106191905,"21,06","235,17",4
303911901,105857815,"2,99","234,45",4
318584707,105962169,"4,96","234,26",4
319218104,105701811,"12,78","233,93",4
325611801,105883123,"6,09","233,87",4
362115001,105126892,"6,56","233,27",4
312728501,104747073,"13,98","232,01",4
325611902,105882786,"6,42","231,86",4
353420101,105117624,"17,80","230,54",4
351252701,105055785,"2,77","228,81",4
331404401,105058371,"2,19","227,70",4
321778101,106115602,"9,52","225,83",4
367180801,106175122,"4,33","223,24",4
355731205,105160978,"5,37","223,06",4
328941301,106579866,"4,98","222,10",4
329870801,104929035,"13,13","221,90",4
307482303,105031122,"3,69","221,77",4
308795402,105625607,"5,51","221,75",4
323332002,104809813,"4,99","221,57",4
353311601,105338785,"3,00","221,57",4
317449203,105480537,"1,17","221,52",4
321458801,104815472,"3,88","221,30",4
317161402,106838732,"10,57","220,64",4
319453201,106830067,"11,79","220,51",4
328940702,106560269,"5,63","220,09",4
367523101,106768225,"9,30","219,35",4
364690601,104811810,"4,54","218,65",4
316047202,106840467,"10,18","218,44",4
366777801,106333381,"4,62","218,32",4
315586001,105608202,"21,25","218,26",4
363719201,106824498,"4,67","218,17",4
363622101,104807924,"5,66","217,43",4
323036103,105284513,"4,88","216,96",4
312593401,105883238,"5,99","215,04",4
365106402,104848922,"7,90","214,11",4
314597601,106840270,"12,49","213,98",4
313247501,106722882,"3,56","212,86",4
350420403,104910470,"6,02","212,03",4
320728801,105843789,"8,38","211,25",4
361024201,105558351,"4,47","210,93",4
320409301,106256444,"15,54","210,77",4
363622101,105059302,"5,48","210,21",4
324267705,105549572,"3,03","209,36",4
322529801,105854852,"6,19","208,29",4
307499001,105015417,"5,66","207,90",4
319218301,105699461,"14,58","207,11",4
329085803,104850208,"3,99","207,08",4
321458201,104808623,"5,33","206,06",4
359939301,105306025,"2,75","205,99",4
337155606,106292065,"0,31","205,77",4
356742701,105375944,"2,52","205,69",4
311830301,106765220,"6,18","204,98",4
321458201,105060175,"5,30","204,87",4
337065701,106086179,"1,04","203,50",4
321453501,104783591,"2,79","203,44",4
300067101,105311882,"14,64","202,52",4
315179701,104752037,"10,22","202,23",4
322059801,105670568,"24,66","199,87",4
356609902,104941544,"3,95","199,75",4
354355601,106823463,"4,29","198,98",4
319400201,106495807,"11,82","198,78",4
355568501,104867338,"5,12","198,19",4
312655701,105576496,"8,89","197,71",4
366302301,105668594,"5,45","196,73",4
307110902,105166665,"2,10","196,62",4
362473801,104850304,"7,08","196,56",4
313115601,105778981,"6,21","195,79",4
360657102,105717355,"24,93","195,47",4
356878501,106807751,"7,43","195,37",4
365654001,105544497,"11,62","195,33",4
331423602,106841057,"10,05","194,33",4
361537901,105581284,"6,88","193,56",4
359262901,104771779,"8,55","193,12",4
351150101,106834138,"11,28","192,76",4
325666502,105188787,"7,48","192,63",4
316006702,105542172,"3,49","191,53",4
337328301,106519441,"0,07","191,35",4
315200302,104815597,"11,27","189,96",4
